Conference,ConferenceTitle,Area,AreaTitle,ParentArea,NextTier
er,ER,A,A,Unknown,False
concur,CONCUR,A,A,Unknown,False
icde,ICDE,A*,A*,Systems,False
icdt,ICDT,A,A,Unknown,False
icdcs,ICDCS,A,A,Unknown,False
ease,EASE,A,A,Unknown,False
icfp,ICFP,A,A,Systems,False
chi,CHI,A*,A*,Interdisciplinary Areas,False
iui,IUI,A,A,Unknown,False
lak,LAK,A,A,Unknown,False
iclr,ICLR,A*,A*,AI,False
iclp,ICLP,A,A,Unknown,False
icml,ICML,A*,A*,AI,False
models,MODELS,A,A,Unknown,False
cp,CP,A,A,Unknown,False
icsoc,ICSOC,A,A,Unknown,False
icsa,ICSA,A,A,Unknown,False
icse,ICSE,A*,A*,Systems,False
icst,ICST,A,A,Unknown,False
kr,KR,A*,A*,Unknown,False
eurocrypt,EuroCrypt,A*,A*,Theory,False
asiacrypt,ASIACRYPT,A,A,Unknown,False
sat,SAT,A,A,Unknown,False
vldb,VLDB,A*,A*,Systems,False
icwsm,ICWSM,A,A,Unknown,False
ijcai,IJCAI,A*,A*,AI,False
ijcar,IJCAR,A,A,Unknown,False
aamas,AAMAS,A*,A*,Unknown,False
iswc,ISWC,A,A,Unknown,False
isaac,ISAAC,A,A,Unknown,False
cgo,CGO,A,A,Unknown,False
socg,SoCG,A,A,Unknown,False
disc,DISC,A,A,Unknown,False
esem,ESEM,A,A,Unknown,False
fm,FM,A,A,Unknown,False
hpca,HPCA,A*,A*,Systems,False
mfcs,MFCS,A,A,Unknown,False
seams,SEAMS,A,A,Unknown,False
issre,ISSRE,A,A,Unknown,False
issta,ISSTA,A,A,Systems,False
issac,ISSAC,A,A,Unknown,False
stacs,STACS,A,A,Unknown,False
approx/random,APPROX/RANDOM,A,A,Unknown,False
www,WWW,A*,A*,AI,False
imc,IMC,A,A,Systems,False
interspeech,Interspeech,A,A,Unknown,False
jelia,JELIA,A,A,Unknown,False
sigmetrics,SIGMETRICS,A*,A*,Systems,False
miccai,MICCAI,A,A,Unknown,False
aaai,AAAI,A*,A*,AI,False
naacl,NAACL,A,A,AI,False
ppsn,PPSN,A,A,Unknown,False
pets,PETS,A,A,Systems,False
rtss,RTSS,A*,A*,Systems,False
sdm,SDM,A,A,Unknown,False
raid,RAID,A,A,Unknown,False
tark,TARK,A,A,Unknown,False
tcc,TCC,A,A,Unknown,False
tacas,TACAS,A,A,Unknown,False
usenix,USENIX,A,A,Unknown,False
ndss,NDSS,A*,A*,Systems,False
usenix-security,USENIX-Security,A*,A*,Unknown,False
osdi,OSDI,A*,A*,Systems,False
hotos,HotOS,A,A,Unknown,False
alenex,ALENEX,A,A,Unknown,False
ches,CHES,A,A,Unknown,False
